x,y,indicator
-93.416245,45.225101,1
-93.369827,44.93914,1
-93.067574,44.727863,1
-92.923836,45.019222,1
-95.883743,45.607136,1
,,1
-92.238388,46.836487,1
,,1
-94.910843,47.505085,1
-93.331558,45.319683,1
-95.092491,46.631035,1
-94.865639,45.96516,1
-94.22126,45.565266,1
-93.236748,45.370613,1
-95.450897,45.869587,1
-92.934196,44.572266,1
-92.867661,44.99939,1
-93.258102,45.078922,1
-93.249931,44.953743,1
,,1
-94.415619,36.840202,1
-90.486435,38.788258,1
-94.282433,39.103886,1
-90.505882,38.781952,1
-94.533958,39.131092,1
-94.89621,39.895374,1
-93.311905,37.2211,1
-93.798729,36.960526,1
-94.555916,39.145065,1
-90.443726,38.773487,1
-90.292458,37.565056,1
-89.488914,37.345886,1
-93.309181,37.239044,1
,,1
-90.306152,38.74699,1
,,1
,,1
,,1
-90.478577,38.440796,1
-94.449432,39.266895,1
-93.480232,37.126637,1
-89.992233,36.600536,1
-89.587837,36.883667,1
-89.556969,37.334496,1
-90.491074,38.543797,1
,,1
,,1
,,1
-91.238403,38.576023,1
-94.473389,37.043587,1
-91.00737,38.55167,1
-90.773476,37.940308,1
-90.75692,38.011761,1
,,1
,,1
-91.944374,38.189064,1
-90.770226,37.751423,1
-93.073906,37.115623,1
145.71899,15.208,1
-90.013634,32.617325,1
-89.057457,33.115074,1
-89.771843,33.809765,1
-89.087807,30.427547,1
-89.29306,31.328566,1
-89.689392,30.522476,1
-90.141991,32.293411,1
-90.146744,32.278484,1
-89.828308,31.248716,1
-88.411339,33.510746,1
-88.500771,30.350958,1
,,1
-108.44612,45.804291,1
-115.55386,48.391132,1
-114.88006,47.219337,1
,,1
-111.91599,46.590427,1
-112.53665,45.98938,1
-111.02028,45.687798,1
,,1
-114.14868,48.392517,1
-111.28154,47.522659,1
,,1
-115.54269,48.379761,1
,,1
-113.88268,46.871613,1
-112.28313,46.268948,1
-108.52282,45.774158,1
-114.19795,46.964943,1
-112.26051,46.50742,1
-78.608795,36.296459,1
-81.189842,35.197731,1
-76.904839,34.914452,1
-77.422012,34.732048,1
-80.921928,35.263786,1
-82.50602,35.493866,1
-79.010269,35.082825,1
-78.843773,35.06321,1
-78.789948,35.801746,1
-78.773621,35.901711,1
-81.552933,35.302753,1
-77.366539,34.741047,1
-80.675819,36.15789,1
-80.610947,35.408218,1
-82.528648,35.462448,1
-80.968216,35.72113,1
-82.420074,35.278564,1
-80.916756,35.786427,1
-82.434326,35.619637,1
-78.591904,36.296104,1
-78.717278,35.802357,1
-77.997475,34.25428,1
,,1
,,1
,,1
-79.413391,35.150826,1
-77.913795,34.274395,1
,,1
-82.994522,35.490311,1
-77.077652,35.565308,1
-79.394188,35.11924,1
-80.603065,35.232563,1
-81.218666,35.232475,1
-77.886986,34.331619,1
-81.05204,35.273418,1
-80.532265,35.631111,1
-79.413467,35.129391,1
-77.957062,34.266937,1
-81.330032,36.402565,1
-78.941643,36.416935,1
-82.987526,35.490765,1
,,1
-101.33532,48.218899,1
-98.341164,40.926468,1
-96.490387,41.231796,1
-97.692078,41.699947,1
-97.422867,41.979961,1
-98.389755,40.594215,1
,,1
-98.33902,40.928589,1
-96.959984,41.285603,1
-97.362045,41.4263,1
-101.7225,41.12434,1
-97.416908,42.032127,1
-98.408264,40.568039,1
-98.363747,40.902279,1
-98.408264,40.568039,1
-97.600357,40.888283,1
-97.592949,40.865875,1
-95.8937,41.137794,1
-95.920563,41.273506,1
-70.816917,43.089531,1
-71.652534,42.835331,1
-71.485291,42.854111,1
-71.107208,42.854996,1
-71.145943,43.965115,1
-71.347343,42.866299,1
-70.811195,43.008709,1
-71.056877,43.033905,1
-71.522224,42.718212,1
-71.175247,42.99308,1
-70.929878,43.204002,1
-72.184357,42.793869,1
-70.89576,43.24567,1
-71.358902,42.929386,1
-71.720016,42.840458,1
-71.953125,42.868629,1
-71.384567,42.862495,1
-71.033958,43.179043,1
-71.015884,42.911491,1
,,1
-74.958572,39.837158,1
-74.966507,39.82198,1
-74.034111,40.746025,1
-75.043396,39.459473,1
-74.583344,40.545002,1
,,1
-74.603119,40.036835,1
-74.491196,40.571205,1
-74.270935,40.969135,1
-74.624428,39.94569,1
-74.586441,40.919952,1
-74.306915,40.03109,1
-74.51442,39.337646,1
-74.926094,40.058746,1
-73.993584,40.801277,1
-74.192337,40.64336,1
-74.161476,39.953987,1
-74.093117,40.828571,1
-74.317741,40.437508,1
-74.145439,40.717533,1
-74.226753,40.776283,1
-74.269615,40.878128,1
-74.577789,40.904232,1
-74.670662,40.598373,1
-74.099136,40.747482,1
-75.276749,39.832909,1
-75.061676,39.617195,1
-75.029305,39.421852,1
-75.03672,39.562664,1
-75.059868,39.508259,1
-74.677582,40.045776,1
-74.598808,41.110695,1
-74.102913,40.891045,1
-75.182846,39.845715,1
-75.119568,39.926003,1
-74.912689,39.773838,1
-74.62886,41.046806,1
-75.033768,39.982018,1
-74.439552,40.441223,1
-75.302689,39.761135,1
-74.242737,41.003899,1
,,1
-74.504913,40.970272,1
-74.762489,39.977734,1
-74.272667,40.877697,1
-74.386703,40.495167,1
-74.616554,40.388641,1
-74.953979,39.520557,1
-75.318527,39.806324,1
-74.059013,40.145725,1
-75.088089,40.563393,1
-75.428688,39.756699,1
-74.166283,40.199043,1
-74.31102,40.460667,1
-74.11216,40.736298,1
-74.525673,39.409935,1
-74.357681,40.520973,1
-74.07235,40.823292,1
-74.773338,40.118645,1
-74.536491,40.560478,1
-74.227135,40.614498,1
-74.041534,40.262157,1
-74.133141,40.748356,1
-74.730415,40.771557,1
-74.463425,40.364693,1
-74.964264,39.836674,1
-74.36557,40.529659,1
-74.275558,40.373676,1
-74.119232,40.117165,1
-74.348434,40.058754,1
-74.884735,39.629227,1
-75.199356,39.775696,1
-74.488365,39.93652,1
-75.16851,39.76189,1
-74.328781,40.209324,1
-74.079811,40.734165,1
-74.387802,40.356148,1
-74.354485,40.443661,1
-74.349274,40.848614,1
-74.466606,39.757458,1
-74.547897,39.814243,1
-74.446014,40.561954,1
-74.136681,40.738659,1
-74.525635,39.410198,1
-74.865929,39.909546,1
